space,category,latitud,longitud,T_sens_cold_plus,T_sens_cold,T_sens_normal,T_sens_hot,T_sens_hot_plus,T_real,number_of_votes,weighted_results
Rafael Campalans,T,41.3730601,2.1218821,0,2,4,0,0,25.6,6,2.6666666666666665
Plaça Espanyola,LLT/D,41.3710511,2.1215888,0,3,3,0,0,26.0,6,2.5
c/Mare de Deu Desemparats,LLT,41.3707743,2.1224749,0,2,4,0,0,26.0,6,2.6666666666666665
Plaça Guernica,LLT/D,41.3741513,2.1220789,0,2,3,0,0,25.9,5,2.6
