space,category,latitud,longitud,T_sens_cold_plus,T_sens_cold,T_sens_normal,T_sens_hot,T_sens_hot_plus,T_real,number_of_votes,weighted_results
Plaça Guernica,LLT/D,41.374257,2.121949,0,2,3,0,0,25.6,5,2.6
Riera Blanca 19,LLT,41.374975,2.122838,0,2,3,0,0,26.0,5,2.6
Metro Collblanc L9,T,41.375977,2.118555,0,0,1,4,0,26.0,5,3.8
Parc Marquesa,LLT/D,41.375391,2.117316,0,0,4,1,0,25.9,5,3.2
Poliesportiu,EE,41.375291,2.115227,0,1,2,2,0,25.9,5,3.2
CAP Collblanc,S,41.374211,2.116809,0,0,2,3,0,25.6,5,3.6
C/Progrés,LLT,41.374478,2.11945,0,1,1,3,0,25.6,5,3.4
Mercat Collblanc,M,41.374656,2.119706,0,0,4,1,0,25.0,5,3.2
