space,category,latitud,longitud,T_sens_cold_plus,T_sens_cold,T_sens_normal,T_sens_hot,T_sens_hot_plus,T_real,number_of_votes,weighted_results
Ins. La Ribera,E,41.479924,2.189625,0,9,0,1,0,25.3,10,2.2
CAP,S,41.481691,2.188588,0,0,2,7,1,25.4,10,3.9
Parada Ribera/Mercat,T,41.484989,2.190984,0,0,0,9,1,27.0,10,4.1
Est. Montcada-Reixac,T,41.484311,2.187929,0,0,6,4,0,26.1,10,3.4
Est. Montcada-Manresa,T,41.483894,2.185881,0,0,0,5,5,25.6,10,4.5
