space,category,latitud,longitud,T_sens_cold_plus,T_sens_cold,T_sens_normal,T_sens_hot,T_sens_hot_plus,T_real,number_of_votes,weighted_results
GARAGE,LLT/E,41.38684126999962,2.179606295581325,0,0,3,6,2,29.1,11,3.6363636363636362
CARRER CECS,LLT,41.38649634988657,2.180191809946761,1,9,2,0,0,30.8,12,1.3541666666666667
BORN,LLT/C,41.38556851427029,2.1833247275918706,0,0,0,7,3,28.4,10,4.125
CAMPILLO,LLT/EE,41.38522675323255,2.1869922502622536,0,0,3,2,5,30.6,10,4.0
ARC TRIOMF,LLT/D,41.3906893521327,2.1809273595561764,0,0,0,5,6,31.4,11,4.431818181818182
BENET CORNER,D/C,41.39043588265709,2.1800247164667574,0,1,2,4,1,31.8,8,3.28125
POU FIGUERA,LLT/D,41.38797049334302,2.179115365172788,0,0,4,5,2,31.2,11,3.522727272727273
