space,category,latitud,longitud,T_sens_cold_plus,T_sens_cold,T_sens_normal,T_sens_hot,T_sens_hot_plus,T_real,number_of_votes,weighted_results
Camp de Futbol,EE,41.39043818745053,2.0051803317000494,0,5,4,0,0,32.4,9,2.4444444444444446
Salesians,E,41.389752141229415,2.008191501784708,0,1,2,5,1,30.8,9,3.6666666666666665
Ajuntament,C,41.39326370496735,2.009678061646029,0,1,4,3,1,29.3,9,3.4444444444444446
CAP,S,41.39518557629554,2.0112751156809865,0,0,6,2,0,29.5,8,3.25
Escola,E,41.39242099085925,2.003659892487341,0,1,2,2,3,28.0,8,3.875
