space,category,latitud,longitud,T_sens_cold_plus,T_sens_cold,T_sens_normal,T_sens_hot,T_sens_hot_plus,T_real,number_of_votes,weighted_results
Escola,E,41.39242099085925,2.003659892487341,0,0,4,4,0,28.6,8,3.5
Ins. Gabriela,E,41.39471081817894,1.9968589674442594,0,1,4,2,1,27.8,8,3.375
Pi Gros,LLT/D,41.395921298459314,1.999496485490784,0,1,2,4,1,26.1,8,3.625
