space,category,latitud,longitud,T_sens_cold_plus,T_sens_cold,T_sens_normal,T_sens_hot,T_sens_hot_plus,T_real,number_of_votes,weighted_results
Ins. La Ribera,E,41.480169,2.189445,0,0,9,0,0,27.3,9,3.0
Plaça Lluís Companys,LLT/D,41.482084,2.188404,0,0,5,4,0,28.4,9,3.4444444444444446
Parada Ribera/Mercat,T,41.484963,2.191,0,8,1,0,0,28.8,9,2.111111111111111
Escola El Reixac,E,41.486485,2.189516,0,0,5,4,0,28.2,9,3.4444444444444446
Plaça Esglèsia,LLT/D,41.485928,2.188194,0,0,6,2,1,28.1,9,3.4444444444444446
