space,category,latitud,longitud,T_sens_cold_plus,T_sens_cold,T_sens_normal,T_sens_hot,T_sens_hot_plus,T_real,number_of_votes,weighted_results
Ins. La Ribera,E,41.480032,2.189415,0,0,9,0,0,27.3,9,3.0
Pista Futbol,EE/LLT,41.475897,2.188812,0,0,0,10,0,28.0,10,4.0
Parc Aigües,LLT/D,41.473514,2.187745,0,1,1,8,0,30.5,10,3.7
Pont riu Besos,LLT/D,41.473399,2.189123,0,2,5,3,0,29.4,10,3.1
Pont exercici,EE/LLT,41.481019,2.192029,1,0,6,3,0,32.8,10,3.1
