Time,Lat,Lon,Hum[%],Alt[m],Press[mbar],DP[°C],HDX[°C],Gradient[°C/100m],Speed[km/h],Radiation[],BT[dBm],CO2[ppm],mass PM1.0[μg/m3],mass PM2.5[μg/m3],mass PM4[μg/m3],mass PM10[μg/m3],number PM0.5[#/cm3],number PM1.0[#/cm3],number PM2.5[#/cm3],number PM4[#/cm3],number PM10[#/cm3],Typical Part Size[μm],EAQ[],FAQ[],O3[ppb],Temp[°C]
2023-07-10 15:43:05+02:00,41.386515,2.1801475,73,11,1021,24.8,44.2,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.1
2023-07-10 15:43:10+02:00,41.3865888,2.1801687,73,10,1021,24.4,43.2,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.7
2023-07-10 15:43:14+02:00,41.3866459,2.1801719,74,10,1021,24.3,42.9,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.5
2023-07-10 15:43:16+02:00,41.3866512,2.1801562,73,10,1021,24.1,42.4,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.4
2023-07-10 15:43:20+02:00,41.3866338,2.1801451,73,11,1021,24.2,42.8,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.6
2023-07-10 15:43:23+02:00,41.3866349,2.1801569,73,11,1021,24.3,43.0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.7
2023-07-10 15:43:28+02:00,41.3866459,2.1801797,72,11,1021,23.8,41.9,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.2
2023-07-10 15:43:33+02:00,41.3866647,2.1801858,71,10,1021,23.5,41.5,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.1
2023-07-10 15:43:40+02:00,41.386711,2.1801761,71,11,1021,23.6,41.9,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.4
2023-07-10 15:43:43+02:00,41.3867789,2.1802289,71,10,1021,23.7,42.1,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.5
