space,category,latitud,longitud,T_sens_cold_plus,T_sens_cold,T_sens_normal,T_sens_hot,T_sens_hot_plus,T_real,number_of_votes,weighted_results
CAP,S,41.39034369062064,2.1802917921175013,0,4,5,0,0,28.7,9,1.9444444444444444
LA SALLE,E,41.38758026395484,2.175653639226073,0,0,1,8,0,30.9,9,3.611111111111111
INSTITUT,E/LLT,41.38590301815497,2.177398014116214,0,0,5,2,2,29.2,9,3.3333333333333335
POU FIGUERA,LLT/D,41.38771262219267,2.179101014044946,0,2,4,2,1,29.8,9,2.7777777777777777
