space,category,latitud,longitud,T_sens_cold_plus,T_sens_cold,T_sens_normal,T_sens_hot,T_sens_hot_plus,T_real,number_of_votes,weighted_results
Ins. La Ribera,E,41.48005,2.189404,0,4,5,0,0,27.3,9,2.5555555555555554
c/Llevant,LLT,41.477442,2.187507,1,0,4,4,0,27.4,9,3.2222222222222223
Parc de les Aigües,LLT/D,41.473192,2.187616,3,1,5,0,0,25.8,9,2.2222222222222223
